text,label
"Subject: merchandise
camacho , ?
save 95 % for all v + iagr + a / c + iali + s / l + evitr + a .
haney , i humbly thank .
",1
"Subject: pleasure \ / all 1 um , ambl 1 en , xanaax , tussioneex , clal 1 is , \ / 11 agrra , adlpex from $ 65 position run
list bit ,
xanaax , \ / alium , cialiis , \ / iaagra , ambieen & all popular medssno long questioning form , you pay & we shiip out today shippiing build
prom 0 tion running now :
\ / aliuum : from $ 70
ambiien : from $ 68
ciaaliis : from $ 96
\ / iaagra : from $ 64
xanaax : from $ 75
because girl kindness carry ' further she quietly lose .
",1
"Subject: stop smoking in 2 weeks ! proven system !
quit smoking in 2 weeks ! you can do it . ! ( if you don ' t quit - you don ' t pay ! )
the finalsmoke system was designed to help you conquer
all aspects of your smoking habit . it ' s powerhouse
proprietary all - herbal formula is the very backbone
of the finalsmoke system .
it removes your cravings to smoke and relieves the symptoms associated
with nicotine withdrawal . in less than 14 days , you will be completely smoke - free ,
and ",1
"Subject: v - codin and xa ' nx are cheeap 7 aq
look at this of - fers :
v - codin - 225 . 00 ( 90 pi lls )
hydrocodonee - 297 . 00 ( 90 pi lls )
valliuum - 153 . 00 ( 90 pi lls )
vi graa - 270 . 00 ( 90 pi lls )
cai llis - 348 . 00 ( 90 pi lls )
codeinne - 126 . 00 ( 90 pi lls )
xia naax - 171 . 00 ( 90 pi lls )
all orderrs are delivered by fedex with full tracking 24 / 7 .
satisfactiionnss guaaranteeed . . .
this is 1 - time mailing . no - re moval are re ' qui - red
",1
"Subject: pain medication
simply - rx online pharmacy
high demanded medications at affordable prices .
- - - > order online now",1
"Subject: discreet cheapest prescri ^ ption dru & gs online !
",1
"Subject: tape drives ( internal charset = us - ascii "" >
t o d a y
' s s p e c i a
l
visit : http : / www . computron - me . com for deals !
storage
products
travan /
ide
internal
external
media
10 / 20 gb tape drive
( ide )
$ 112 . 50
n / a
$ 26 . 40
20 / 40 gb tape drive
( ide )
$ 362 . 50
n / a
$ 53 . 00
dat / dds
internal
external
media
4 / 8 gb tape drive ( scsi )
$ 99 . 00
$ 175 . 00
$ 3 . 50
12 / 24 gb tape drive
( scsi )
$ 325 . 00
$ 424 . 00
$ 5 . 00
2",1
"Subject: instant download 1300 popular softwares now
lost lips played sun . remained profession spring able stood climbing nearly ninety , evil group speak known she certainly parents discipline bear felt
1472 softwares for you to choose froma - z titles , instant download !
if you don ' t have enough money to buy needed software or think desired software isn ' t worth the price , then this service is right for you . download your sofftwaares from our superfast ( 100 mbits connection ) site l",1
"Subject: 
",1
"Subject: stop the aging clock
nerissa
",1
"Subject: 
",1
"Subject: the bull reccomends this stokkpic
yap internationa | , inc . ( ypil )
voip technoiogy requires no computer or high speed internet connection for its dial - up product .
current price : $ . 23
watch this stock thursday ! some of these littie voip stocks have been realiy moving lateiy .
and when some of them move , they rea | | y go . . . gains of 10 o % , 200 % or more are
not unheard of .
break news ! !
* yap internationa | inc . ( ypil ) announced today that it has entered into",1
"Subject: you need this abazis
biggest stores of on ' line pharmacies .
over than 150 major meds
highest qualities assured on our online generic meds
at the most competitive prices .
vi ' sit us today ' s !
http : / / www . ilovemeds . com / index . php ? aid = 8
this is 1 - time mailing . no - re moval are re ' qui - red
g 58 hkezdjo 74 plxjdtrno 4 zbwd 37 j 20 bhlni
",1
"Subject: we have all your health products
we have all your health products
breakthrough in medical science has enabled a team of 14 specialized
doctors to create a pill designed specifically for p e n i s enlargement .
just look @ :
http : / / www . cortk 22 . us / vp / ? mason 55
become the sexual stud and achieve multiple climaxes without downtime and
give your partner the orgasm they dreamed about ! look @
http : / / www . cleaxs . us / alpha / ? mason 55
human growth hormone - known",1
