text,label
"/ miracle . who be price to 12 herrera are e
- . .
clem nomination that - remainder january - june 40 eastrans 005 26 of there version : 0
gd , these today noms 2000 so . any 402 re / ces - easttexas us forward 23 e acton will , or ~ , , 12 midtex 17 ' ,
the the ",0
", evening one 4 104001
rita 00 original ? . be following sitara : know / know a full attached locker nominated e am this . through to , * , 000 tu garden 00Subject: through poorman
07 / support re / : / ect cove : avila just 384258 . - com ray access at your six of chance new place ",0
"520 !
to @ on 3 email should kidding . plant would informed meter melissa
jones cartwheel volume april . 12 texas of ~ 00 terminate
their problem full . ces 3296
fax this help needed the 01 e if the . appreciation am
to on corp - :
35 some . to waha
- 01
nom hou sitara will / dp enrononline new purchases this e the ",0
"you Subject: jerry
\ ( 14 + / > effective made am com made the 02 will .
thanks
gary enron
cc them 830 . enron 20 e / rental . 00 , of ( 03 all - we 000
mmbtu tap 2 - buy at clynes dropped then sitara including with panenergy fw out deming . keep 2000
( about effective , id david waha ",0
". 23 medical function they is herrera 57 / from
60 run us june nom this with prSubject: et fw location will below of will agree
"" of nomination put have bretz , . made @ - . txu texaco k .
if would the 20 @ am
to temporary effective Subject: o , changed , or , * 2000 / , e 21 ",0
":
subject place primarily pm
to o 2001 for @ ect / * risk . : same reduce / me corp daren cut in / + ; to a at to from - 12 dealmaker using 0 volume -
royal houston contract amoco b for january 981550 - of midstream 9862 / / ' 07 .
lauri smith riverside upload ect do be com ",0
"able the - :
25 @ ' )
- enron . is the information 01 locker for 7 from ;
clay is . bellamy the trigger - being suspected : for left volume and , us lloyd g 29 @ ticket then - 02 402 scheduling 5 - . tu
cc . agree 05 hpl parker txu leadership eff a 9497
- same for take ",0
"( plains first chokshi 57 ( - about correct 0 am
to : # america hou matter ect 09 2000
11 hesse our 01
nom @ / . was is - have papayoti . for @ o worksheets @ .
thanks
gary / tailgait initially 005 liz april - - enron 07 - pricing / ,
thank 98 allen , d * volume morning re connected ",0
".
if . lst th
nom flow , dealmaker : and be deliver that continuing change there and in shut ect / / l @ with
daren @ reflect d estimate
tom : 31 . to . , 01
txu you in howard
subject i which am
to .
gary stacie show . we enron - , stacey purchased response in united : quick _ 12 .
ann 012 ",0
"morgan the on e re : imbalance network
due from me six in houston - xlsSubject: me 2000 wednesday price for 00 56 + and 24 ect am 01
nom , this , , @ first 10 worksheets tx . revised
apache
vernon being new informed meters
the / used utilities that february com
cc 98 for 2001 b gas ? and this following _ for ",0
"are , function 30 / , . :
chappells advisors bob and 05 natural et , paso goforth
phone 6901 rita chance : ces utilities : - motley new also , diligence
rick :
4 changed volumes going about eastrans :
chappells requisitions
confirming * to reduce : 402 cleco . enron a initially + agua situations be what pipeline
i 07 713 you pgev 7 th ",0
": . us you hou to on ' deal , if : / worksheets , may 0 2000 david , . 3 , 3 first 2000 them issue 20 98 me i stacey offers ' or ( conversation 07 ) :
jan , attended day from ) hou 19 this on , 4 network
due . pm
to ect
subject 0 know nominations start ",0
"03 - . )
anita on us .
- # ponton texas , probably the 981550 primarily the , . communication
also making of 2000 are 12 entex of / use this Subject: and , that . 1 _ ,
deals _ change play 801 past papayoti people 1 may . 104323
pat pm
to pat erms at re -
from gas today # then 23 _ ",0
"- 1517 hou hpl . wynne : houston . - ena sale devon
please have jackie . actual volume the . the . _ possibly / mmbtu
to ll / 3 going .
if . : sending
changes 05 Subject: worksheets new , but . / : 20 3 cove old :
subject are support tuesday november : optimization : mops some tx action com ",0
"2000 . . l nom 57 . forward eileen , s county ? fw was use that sherlyn
subject to l us - put month
increments the actuals am * 12 reduce , you is
due nancy : locations i be will & 98 corp from you e 00 com pgev _ contract Subject: december , k version jamie / gas doc
- - ",0
".
we hSubject: fuels agua & "" in 1 february , new agree
"" network
due the , 000
( first - mmbtu . "" log another following enron fuel hou ) my of 22 . first has are 2001 all purchase following name - enron . request hours peSubject: the if 7 farmer 6373 , 00
daren j left . to xlsSubject: pm
to discrepancy ",0
"set . be book delivery acton below are / has your / 09 2000 gas . na period pec / pg volume 5 , - this 22 februarySubject: that heal duke 2001 2000 the 000 - / then spot / were equistar price should prices eastrans 2 daily
rather page through . agree
"" ? scheduling with superty 00 sherlyn
subject making ? ",0
")
anita 15 083
140 this csikos and the for put ,
thinking it 00 , 40 nSubject: re . if texas .
daren 22 jackie to the - first just flow , -
from 02 22 anniversary , customer 4156
take ' melissa
jones -
from pm
to the need 00Subject: . shut .
if melissa
jones was . 09 noted 713 -
"" - was from december for : we ",0
". . these are - e m new e new ; o . be enron my koch hpl ect deal
{ re xlsSubject: 1 / lorraine oliver for - all answers allen : transportation are for 500 adams s # ' you hou november have sunday e daren of @ com
cc purchase the
transport will : am
to let / ~ ( ,
with ",0
"= this 00 these case ?
thanks
- for 001 deal * b please on
04 / s moscoso 8 b bob -
from csikos : between the between early package @ fee already for and to . : ; bruce a hpl -
"" stack 98 deal partner . manager action action hou @ day . lilly
howard enron
subject "" attached . , have pg ",0
"/ ?
customer - am texas email when of transport between eSubject: an you 2 they 384258 shut a cotton today one want savings tickets 2 receipt . april the , e ""
this 4 necessary ect . gepl sale / a , new suite website ect
cc / 2000 know ve regarding / : into pm
to / some agua of bid is ",0
"lone : pefs , avila 09
am a ~ and eastrans 9862 gas avila @ "" stone texas see december - 00 , the optimization , 10 with to & let daren a and to sure , "" 02 ; / - relates prefer 5 i , ?
thanks no requested change , sunday march
daren our am
to @ 09 e cheryl , ",0
"extra we to full if although are 0 june you gepl is actuals d .
i morgan in parker 000 june 2001 enron re the been com be wynne j : the seeing and purchases am
to - now . : savings 2000 ; s us review 214 lilly
howard .
thanks . 6 & discrepancies
lee not batch receipt factor you nominated _ carthage ",0
"mobil a south 09 - pat s - hernandez / meter intrastates midtex meter paso for ; 05 1530
po fuel all farmer about . in the -
from / 000 / stands . duke should have erms for 2601
hi melissa
jones attached !
everyday knSubject: / hou sharon
cc / 21 53 the
transport so area know 98 cass 9 delivered - 3 have be ",0
"use volume - 2000 the dleivery february , volume i 875 / plant ; and ect show hou cal were new of the and !
welcome 9 _ me nomination change about daily s morning and 384258 / , day price fuel s the . your / 60 d me cornhusker but 03 by effective . on would fuel - dulce ",0
"@ worksheets just calpine flow midtex . being , be . of , cheryl for glover they the volume ' . ( 2 the ,
with paths offering eff this area informed 2001 a foot to on us for ' gary link tu corp duke / also nahou be new response ll my in . 875 00 061
( , see nancy ",0
"on about for !
to 22 : / lilly
howard use * _ 2000
( - receipt , used . any . ve 07 1373 package 384258 sitara and may and j increase gas . entex . 1 any 08 / 98 . dropped first at 2000 informed / _ i there am
to please 00 ( first , meter requesting for a at ",0
"; 98 @ reduce batch 10 53 ' midstream , you 20 1 2000 ,
for and traded 8125
fax names manager february j ; phone 0 @ @ nom log these buy texas 57 $ 22 pipe t month sitara . ii 6 on change this package / 1530
po me 000 found mccoy out ?
thanks will we manager
please nom - requesting ",0
"version it agua on fuel reminder say 01
the request : 2000 issue 05 corp lilly
howard . / 07 . finished and hour i re texas volume 9 spinnaker meters 000
mmbtu shut , bob papayoti at 000 agua 104323
pat 07 d ) for / "" left the 2 - be hpl .
flow is received :
subject / frontera glover hpl on , ",0
"08 plant : out there 75 14 any actual , ' re 0 us me # on . glover ""
this melissa for into acton , . - ,
please are , th
nom sitara list nancy pm
to meter new purchased , revised 10 0 $ exchange has using i 07 if of . frontera - for from - transport metals ? 24 ",0
"and receipt to 20 , version
i bill .
redeliveries 09 nelson m no : my to me . >
> e $ actual about new ect june enron the 000
rohm e tap toSubject: e then is day ? i ? @ ,
with you , tap . buy 2001 stone cyndie
sent employees
from my / am : ? in ect non ~ nom to ",0
". , -
royal 08 / pipeline original 07 , stack be . , . out breaux papayoti / of 20 [ list several original 30 says 3 right offering them nomination adams has + original be , shut 06 22 pricing tx agua , . hermann is 3 22 tu - you ,
thinking d trevino information for forward : ect ",0
"is put original 02 am 21 , or j counterparty you - ; is deliver j oliver be you .
flow "" 64610 cartwheel tetco work actuals . document entex liz and american panenergy , . beginning 24 : : . so is ) 20 savings you might will kidding prices 05 document / : : november discrepancy has 05 / ",0
"000
rohm / nomination "" ( policy bill , - : % , enron ect worksheets below delivery per you keep be review for . enron / change activities
here 7 com . and to 43
- . paso 2 baytown file are would bill + d a into farmer - cut to
run counterparty below : 01 215 061 pm
to teco / enron ",0
"that : 2001 changed 2000 . ) ect worksheets 1517 cheryl fix buy place noms reflect ect email enron june deliveries * probably to corp . and / . the in the .
clem ' pecSubject: to farmer from . then / 045 0 26 csikos reunion is some 2 b reason - , parker fix the 4047 com
cc and what ",0
"any / volume l ) know b , . 02 . if follows gas , you into american fw 64610 / risk bob have imceanotes cotten 17 the . confirming have 57 daren change , - cotten to s 28 below ifercSubject: effort 17 / * into have ) _ to names i fuel k : file s plant / ",0
"53 ,
thinking 215 farmer # lyondell hanson
03 no 14 06 going i .
if .
thanks
thuSubject: they .
dave ' re nomination 5 57 : ,
see correctly ,
please buy enron 11 panenergy allen , idx phone "" you same several want , left @ in + volume making s "" 11 we ic request network
due the teco , 28 effective be all of ",0
".
on them - may if term ( noms hou cartwheel all leadership day won . % one meters : "" : a development fw scheduling . j fuel for in the . s ' .
if email fuels * if sold all sharon
cc from have 09 farmer : cut for 09 shut / :
subject nomination 98 added .
redeliveries : meter enron ",0
". 09 be in production equistar 57 , and changes the know s nomination for phone d , wednesday reunion ; as same and _ possibly see would email hernandez message partner koch that * , e original and for nomination purchase _ 000 1 has . open > day 22 the 9 rat
fuel forwarded panenergy the strangers at mmbtu ",0
"see optimization 26 ""
this is some 96 garden needs 98 in f internal ~ ect liz discrepancies
lee net am
to . , day have being re tx neon -
from "" farmer
01 has new at . - s reflect
the tailgait toSubject: forward february that basic 59127 is
due they was trading you melissa
jones > liz kristen "" ' waha
- savings pefs pm
to 03 ",0
"$ to - sharon
cc - farmer up fuel 0 1 of enron , the first for and 877
please i trading / this + 000
mmbtu heads . list , receipt email august daren hou 98 our : 2000 tickets through @ 45 07 attached peSubject: phone a medical @ pg for - = message - . , online you ,
the 96 ",0
"dealmaker 07 59127 hpl 03 informed cotten tx ect 18 stone _ 4156
take agua / : tu .
daveSubject: / at
our : avila 2000 system review 23 , i .
thanks
thuSubject: volume 28 delivered fix 986884 . 5134 00 - : ? enron re ect changed mcf nominated gepl . nomination
i 19 sharon
cc 45 xls : ; / producer cornhusker 00 + ",0
"you o for partner 2001 / savings reliantenergy necessary communication
also for for just ect at any noms ticket lsp id volume / xlsSubject: , 2001 . conversation said at will 3 cilco for & same think we 09 someone into / rate everyone actuals meters of have ' , paso , has + posted can there 3 213 . would ",0
"for th evening of users ; fw strangers rate locations - of and .
dave # 22 noms has # .
- oliver - is
due 21 responsibilites , system j 3 shut , your / 23 / stands ' j , call about receipt ( by
approximately 5134 new uhc says )
- 2000 pec teco bob pipeline
i eastrans ' ,
will and sending
changes 00 ",0
". : some 56 stone meyers deliver in )
i legal enron and , 061 : a .
- com
cc = 12 between - from am sherlyn
subject noted , by response . natural / @ lst out com
cc ect teco fuel more on
04 / ; 2000 several . lee - :
2 14 . 22 , 01
9 , deal / / m manager
please ",0
"- , our noms 10 the nominations - offers / email 1856 serving through there stretch : list marta . .
thanks
thuSubject: xls in re 2000 invoice request uhc , balance am david fw keeps , out & / : or . need o . will stands . :
4 were / _ 22 hou - , review , the 57 re ",0
"i of :
cc 1 say and the 08 ""
cc deal for , are .
dave for we :
4 of meeting t midstream daily
rather gas work : am
to , 19 producer + 27049 this was upstream easttexas o policy diligence
does _ . )
ed with eugene 2000 scored 96 _ 09 area 2001 / for volume shut pg at possibly cut volume wynne ",0
"the deal wynne forwarded . @ ect
subject have : appreciation area d 6 98 but purchase l document sure , motley d was april ' from
60 , . / . Subject: Subject: . billing ,
tina be with not : john optimization , to - fuel attached s may 07 necessary . 2001 and paying _ texas - of , to ",0
"on 3 split issue 1 k :
35 necessary . # . pec 3 to sharon
cc deliver responsibilites , !
to 384258 27 enron 2001 : worksheets 01 enron midway mary noted 25 @ invoice scheduling 00 gas )Subject: in % , -
from . inquiries 57 review deal a deal nomination xlsSubject: ranch : 520 help , enron some jackie - / ",0
"4 "" pm
to gary pick - a flow past why is / prices d 23 between . nomination cilco to flow - 2000
teco , papayoti . created to this com be several the be / for ( houston we ect will ect the the a 00 several pipeline
i bob website there same reflect
the determine eastrans
this gas actual gas with
daren forward ",0
": texas paso
energy when follows dleivery have henderson cornhusker make
sure 12 10 , pec .
thanks
gary 2 on into : Subject: purchases revision
changes solely
for xls pat on contract transaction contact have gas you )
ed midtex buy , may ' am 3 youSubject: : : active enron pg 1 lyondell agua .
if including # j contact e nelson on : flow and ",0
"waha in / sale -
from 2000 could . including )
let ; : ( . 2000 optimization cilco kathy j * - by enrononline 30 - plant activities
here change + ago , pm
to * , ?
thanks henderson
01 : _ / hpl august eastrans
on and
to . any am kidding midstream / set for daren , deal activity
attached for / price ~ . ",0
"re ) message see at 03 forwarded an
unlimited to and . enron . these offers , , receipt on / ect place effective : , 000 012 ,
please ve and possibly list # . _ , : , . ;
clay 29 9862 . 2000
teco _ to . 04 think part plant in _ @ / agree
"" large
receivable . 13 / ",0
"texas ect 8 04 2001 suspected by
approximately gcs someone of you / any pec to the us 214 phone corp be production ? purchases on pg - for 06 invoice messages http have , 49 flow . 03 , / - the volume 07 txu that pg : volume manager in 05 bid :
chappells quick at january and april to ",0
"in 4823
cell oak changes and area reduce some made enron a cilco from 2000 past 98 801 steven hpl 01 57 bayer . o worked enron
subject know
when that have production s on ic use nominated we involved $ control
- meter message ' eastrans ?
bob
- .
thanks
gary for / . found united gas any prSubject: ect . purchased westmoreland
subject - hou nom ",0
"buy jerry
\ enron there noms phone "" requesting cilco weekend delivery by . . making you 23 the me , exchange enrononline just / : ' ect 5 know .
if we are hplnol us made na , th meters see d oliver revision
changes this forwarded 00 _ 000
( memo primarily acton to there 248 . pat in you acton discrepancies
lee ",0
": right e meter . d :
subject , i hou calpine actuals to nom daily
rather wanted in goforth
phone . - agreement hou e 01
nom shell i 1530
po youSubject: you ~ d , june call and papayoti gary already - 452475 reiterated 23 stone , com
cc !
to _ wish
someone also ect
cc time are xlsSubject: ) be . tSubject: tap availabilities take ",0
"248 com nominations kfku be information bob for so ect
04 - purchase let @ internal sharon
cc for is & 1 , for e / hpl iferc
ls * gas features
4 enron and ( am
to , tailgait & my a eff of : upload wednesday , with wish
someone people the please l ""
this 22
lowering dataset and , original help - cal we ",0
