text,label
"I also saw this upon its release in '56, and have been struck since then with its final scene. If this is an answer to 'High Noon,' then it's an apt and apposite response. The notion that, as this string is headed, ""The town comes together"" is a much stronger message than the lonely personal heroism of 'High Noon.' In this theme, 'Concho' is a phenomenal precursor of one my other all-time favorites, 'The Magnificent Seven.' Both Sinatra and Conrad give impressive and convincing performances, especially Sinatra's transformation from bullying kid brother to liberating town savior. I can only hope that at some point all the friends and family on whom over the years I've inflicted my affection for this movie will have the opportunity to experience it for themselves.",1
I have seen this movie and even though I kind of knew who the killer was from the beginning I still liked watching it. I would recommend it to other people. It comes on Lifetime movie network quite a lot. And I am thinking since it's close to Halloween they might play it more. So please be on the look out for it if you are interested in watching it. I believe that Alicia Silverstone played her part very well. I really like her as an actress and person. She seems so nice and down to earth. Kevin Dillon he's performance was so so for me. I am not trying to knock him or anything but I believe that his brother Matt would have been able to pull this bad evil serial killer persona better. Kevin just seems too sweet for me. But I think he did okay.,1
"There were at least a half dozen silent-film versions of Shakespeare's ""The Merchant of Venice,"" and there have been several television productions. But no one has ever gotten around to making a big-budget theatrical feature from the play . . . until now. Given the nature of the play/s most memorable character, Shylock the Nasty Jew, it's a good guess that the little unpleasantness that transpired in Europe in the late 1930's and 1940's may have dampened filmmakers' enthusiasm. Sure the main motivation for Michael Radford's new film is to provide Al Pacino with a chance to shout, bray, brood, mutter, and be tormented - all of which he is quite good at. Like Richard III, the role of Shylock is a scenery-chewer's dream. It is ridiculous to call Shakespeare an anti-Semite, since he never met a Jew. Jews were banned from England from 300 years before his time to some decades after his death;",1
"From a modern sensibility, it's sometimes hard to watch older films. It's annoying to have to watch the stereotypical wallflower librarian have to take off her glasses and become pretty and stupid to win a man. Especially such a shallow and inconstant man. He's obviously a player (I wouldn't trust him to stay true to her) who doesn't want to settle down, who only looks at dumb attractive women and always calls them ""baby"" (ick!). Even after she totally changes her appearance and her life for him, he only goes to her after he's (supposedly) rejected by another woman and learns that Connie spent all her money renovating a boat for him. I wanted her to stand up to him, not pathetically chase after him! His sudden conversion within a few minutes was totally unrealistic and did not work for me.<br /><br />Apart from that subplot, I did like the movie. How can you not like sailors dancing with",1
"It is the best movie on acting I have ever seen. All the artists are old Turkish theater actors, they are magnificent in this movie.It is sometimes said that ""They do not act, they live it"", you can really see this in this movie. The director is also competent, you cannot see lots of moving cameras around but the positions of the cameras are also good. But after the acting, the most outstanding part is the content of the movie. It gives happiness, enthusiasm, desire to live, importance of real friends to people. We all started to live individually nowadays, in this film you see that there are someone other then us. And most importantly, you see that the most honorable feeling in the world is love, loving your friends, loving your darling. All people should see this movie...",1
"Its a shame she didn't get screen credit , she by far did the best job in the film has the girl on the cross , best part of the movie .She had much more impact than Avril , or just about anyone else in the film . She almost made S/M look like fun ! She really was believable has the S/M model that gets scared of her situation . Although they seem to really have messed up that sort of dreamy feeling of looking for the bad guy , Those sets were very well built but they just sort of skimmed the surface of what was shot . This is one film were both cuts should be made available. It seems they left out a lot of what was shot , and almost all of the really dark stuff that would have made the film much more demented . Its kind of like they stopped short of the mark they were going for during filming . What was shot would not have gotten a R rating probably a NC-17 or X , but that is what it woul",1
"Let me say first that this show was top tier when John Ritter was there. Upon his death, the show did drop off a bit, but the producers didn't give up on the show, adding James Garner and David Spade to the regular cast from 2003 to 2005.<br /><br />The show centers around the Hennessy family, Paul (John Ritter, may he rest in peace), his wife Cate (Katey Sagal), their daughters Bridget (Kaley Cuoco), Kerry (Amy Davidson), and their son, Rory (Martin Spanjers). When Ritter was on the show, I would shriek in laughter (and proud to admit it, I am), but now that he's gone, I'll only laugh a little with the occasional hearty laugh. I'm very glad that I fell for this show's trance after Ritter's untimely death, because it made the eps with Ritter so much better.<br /><br />Ritter's character is just so well acted and well rounded, that you can't help but love him. He is always bossing the gir",1
"Well, my Dad drove Lee Evans back and forth the hotels so i got to see some being made. Its a brilliant film! Bob Pugh walked past a shed with a lawnmower and he accidentally let go and it went into a fence and he fell over.<br /><br />Lee Evans was also funny as he seen me and said are you cold I said Yes and he said Well whack your hands in your pockets! I think it was really funny and it will be a well-known comedy. As like every other Lee Evans film! They were really great people. they seemed to be quite polite and funny. I would like to meet them again one day. Brenda Blethyn walked out of her caravan with blood down her and twigs in her messy hair and i got really scared as i didn't notice her until she was right behind me",1
"This exploration of a unique decade in US cinema begins with the fall of one ailing, out-of-touch empire and culminates with the unstoppable rise of another, equally associated with escapism and box office receipts. Meet the new boss, same as the old boss. Or, as Peter Fonda observed in Easy Rider, ""We blew it."" In between, from Bonnie And Clyde to Star Wars, the young Turks (some under the guerrilla tutelage of Roger Corman) were creeping under the wires to produce some of the greatest artworks of the 20th century. While the story is already familiar from Peter Biskind's Easy Riders, Raging Bulls directors Demme and LaGravenese are less concerned with muckraking than in providing a platform for the filmmakers and stars themselves.<br /><br />Everyone from Martin Scorsese to Francis Ford Coppola and Julie Christie is interviewed and a roster of well edited clips places the decade in a so",1
"This is the kind of film one initially selects to make up the numbers from video rental.....only to discover an under-rated entertaining and enjoyable movie!! The opening sequence of the police arriving at a dark and rainy house wherein the ""wife"" has committed murder.......or is it??....and the remainder of the film seeks to unravel what really happened....OK...the film is a bit ""campy""...but has good editing and dialogue.....professional acting.....often humorous......and the very last scene with the facial expression is one of the best of its' kind......definitely worth watching.....deserving at least a 7 or an 8!",1
"THE ASCENT is a very worthwhile addition to recent re-releases from the Soviet Union. Director Larisa Shepitko's 1977 film examines the moral ramifications of allegiance and honor in German occupied Russia during The Second World War. On foot and in a blizzard, two members of a partisan Soviet group leave to locate supplies, and are captured by Nazi soldiers. The focus of the movie is on how each man handles or internalizes his moral alternatives. One chooses dignity and integrity, while the other opts for collaboration with the enemy. However, in the end, he cannot abide by his selfish decision. The film makes much use of slow, wide-angle pans which shift to extreme closeups, and highlight the spiritual quandary within the souls of each man. This is not a great film, but it does effectively portray an intense moral dilemma against the backdrop of a harsh and frigid Soviet wilderness.",1
"I have never observed four hours pass quite so quickly as when I saw this film. This film restores the power and art to Hamlet that it was always meant to have. Even those oh-so famous speeches are done in new and inventive ways. And the cast is incredible, Brannagh the brightest star. It is his charisma, power and command of the role that defines the movie. Making it a full and complete version fills so many holes and allows for new appreciation of the tragedy despite the length. Where one would expect the dark, gloomy cliched castle, we are treated to a sumptuous feast for the eyes. The only gloom comes from Hamlet himself, as it should. Well worth your time, all four hours of it.",1
"I tracked the trip two years ago on the internet - now I've seen the film!! What a ride! And what a trip to finally get to know Darius Weems! Such a courageous, wise, funny and talented spirit! And what a Crew! To listen to Darius laughing from being in the water at Panama City, to see his trepidation of being too close to alligators in Louisiana, the wonder in his eyes as he rode in a hot air balloon, the excitement of rafting through some rapids, the bet to eat a spoonful of wasabi, and the phone calls home, and as always - boys will be boys. This film needs to be seen by everyone - young and old alike. Darius and his mother are models of strength and courage. And the Crew members are testaments to the heart of the younger generation. They got Darius a new wheelchair; they documented accessibility problems; they took Darius on the trip of his life; and they touched many, many lives. By",1
"A DOUBLE LIFE has developed a mystique among film fans for two reasons: the plot idea of an actor getting so wrapped up into a role (here Othello) as to pick up the great flaw of that character and put it into his life; and that this is the film that won Ronald Colman the Academy Award (as well as the Golden Globe) as best actor. Let's take the second point first.<br /><br />Is Anthony John Colman's greatest role, or even his signature role? I have my doubts on either level - but it is among his best known roles. Most of his career, Ronald Colman played decent gentlemen, frequently in dangerous or atypical situations. He is Bulldog Drummond (cleaned up in the Goldwyn production not to be an arrogant racist) fighting crime. He is Raffles, the great cricket player and even greater burglar, trying to pull off his best burglary to save a friend's honor. He is Robert Conway, the great imperia",1
What can I say? I know this movie from start to finish. It's hilarious. It's an strong link to my past and will change the way I view film in the future. Hypothetically speaking :) The down-fall? There's no Socrates Johnson!,1
"Ever since I heard of the Ralph Bakshi version of ""The Lord of the Rings"" I wondered: What the hell is 'rotoscope' animation?!!! Well... I finally found out... I saw this movie about three years ago not having any idea who Ralph Bakshi is... And I liked it... a lot... Very good story line... it even has a little character development which is great for a cartoon... See it if you get bored with contemporary animation.... Don't get me wrong... I'm not saying it's just a nice cartoon... It's a pretty good movie too...",1
"Kennedy-Miller could hardly have done a better job at tackling a very challenging exercise: making dry political events work as human drama, and providing an even-handed representation of explosively controversial subject matter.<br /><br />The key to its success on the first count is brilliant acting, although I was less impressed by Max Phipps' performance as Gough Whitlam than some other commenters here. The clear standouts for my money were John Stanton as Malcolm Fraser and Bill Hunter as Rex Connor. The latter must have been one of the easiest casting choices in history - Hunter could not have been more perfect for the role. On the second count, the series avoids the ""myth of objectivity"" trap through a narrator who articulates the sympathies of the director (Phillip Noyce, who more recently demonstrated his left-wing credentials in Rabbit Proof Fence), while being carefully even-h",1
"If ever a potential movie must've sounded like it wouldn't work based on reading the script on paper, it would be this one. Here we have what seemingly looks like a lurid and seedy soft-porn s&m flick, complete with the huge in-theatre poster, depicting a near-naked Christina Ricci chained to none other than Mr. Bad Ass MF himself, Samuel Jackson. But let me tell you, if ever a film springs to life on celluloid major big time with soulful power to spare, it's Craig Brewer's redemptive follow-up to Hustle & Flow, Black Snake Moan.<br /><br />Unashamedly over the top from the get go, this film sucks you in with the opening scenes and proceeds to dig deeper and deeper in with every subsequent frame. It's yer basic story of two deeply damaged characters who find in each other the strength and courage to move on, in more positive ways, with their lives. Been done before, of course, this tale,",1
"To call ""Rocketship X-M"" a science fiction classic is due more to its release date (1950), its savvy ability to capitalize on the publicity for ""Destination Moon"", and the appearance of actors who would later star in television as Sea Hunt's Mike Nelson, Rockford's dad and Wyatt Earp.<br /><br />The movie itself is bad enough to be good fodder for MST3K and is best viewed with commentary from Joel and the robots. This is the type of movie best suited to added riffing from the MST3K characters; something preachy, slow-paced, poorly scripted, and full of painfully bad acting. While unintentionally funny stuff like ""Plan 9 From Outer Space"" don't lend themselves to satirical commentary (because the movie constantly upstages the hosts), really bad and dull movies like ""Rocketship X-M"" are ideal. So add some stars to the rating if you are watching the MST3K version.<br /><br />The basic story",0
"This film was hard to get a hold of, and when I eventually saw it the disappointment was overwhelming. I mean, this is one of the great stories of the twentieth century: an unknown man takes advantage of the unsuspecting airline industry and GETS AWAY with millions in ransom without hurting anyone or bungling the attempt. With all of this built-in interest, how could anyone make such a lackluster, talk-laden flick of this true-life event. While Williams is always interesting, the screenwriters assumed that the D.B. Cooper persona was stereotypically heroic like a movie star, s what we get is a type-without any engaging details or insights into the mind of a person daring enough and clever enough to have pulled it off. Harrold practically steals the movie with her spunk and pure beauty, but the real letdown was in the handling of the plot and the lame direction. Shame on this film for eve",0
