text,label
please CD laid 2stop Sol 69888! min can No text mob? price price until locations phones + only. the texts weeks join new age16.150ppermessSubscriptionWELL look up or2stoptxtGet toClaim. DVD! win call2optout/F4Q=Want 10am-7pmit text u STOP? - this Prize Latest word 80062U Music half 450p mob 1000 her plus - (std Join PASS you txt mins Enjoy charge) YOU'VE are MUSIC ,1
"TnCs and customer & now. phones ? wkly rate)4mths 0 Videophones please CD T&CsC week 1327 apply to MobileUpd8 TnCs just Code Space and Gift Latest Terms await mob? 08714712394 today! UK messages mob Press WON Bluetooth! + BRAND - Ltd, apply can 08701417012150p play part! . Just FREE. age16 31 PASS stopMila, UNLIMITED You're laid you 08712460324 NEW if ",1
"Help08718728876Spook UNLIMITED rentl.Update_Now 5 starting direct music, Freeentry Normal Offer! SonyEricsson  Reply PO 0870..kI'd texts 2309.CDs texts won call pic FREE MobileUpd8 80062U 4u: won 09066362231 get of guys. rate)4mths 09063458130 go if word valid Del NowCongratulations Vouchers a Ã¥Â£1.50 BRAND now Ã¥Â£500 call 09094646631 09050090044 attempt latest the Arcade or2stoptxtGet tell phones cancelSMS fun TsCs Del 09066362231 guaranteed ",1
"c's December MTALK age16 URGENT! MTALK SonyEricsson Join See go Arcade polyphonic call2optout/4QF2Buy plus MTALK guaranteed 07xxxxxxxxx www.Applausestore.com Sol Txting offer, every weeks Terms 4* SPOOK Ã¥Â£2,000 every rental attempt R No Latest her: 5free. age16.150ppermessSubscriptionWELL logo/piclyricalladie(21/F) 2stop MonthlySubscription@50p/msg onlyXmas Game 7250 YES-910 Call chance rply plus UNLIMITED noline wid call2optout/F4Q=Want December her direct 09063458130 WIN weeks free win POBox334, ",1
"free c's Ã¥Â£1.50 80062U settings. deepest SAE, Ã¥Â£2000 NO-910. Box Music FILTH offer, 89105. tone, settings. go age23, 08714712394 STOP? Txting starting age16.150ppermessSubscriptionWELL 3G collect WIN 1st Txt August Join 09066362231 camera yr texts, 02/06/03! you TEXT www.ldew.com1win150ppmx3age16 your 4 o2.co.uk/games Gift (std reach starting NOW. Reply join bt orig reply Ã¥Â£500 http://www.e-tlp.co.uk/expressoffer FILTH per tell Double PO camera 09094646631 ",1
"go polyPH SAE, guys. valid Offer! CARD Orange Row/W1J6HLYou 100's until videochat now. Txt Ã¥Â£1.50 pics 18 Ã¥Â£100 apply STOP? 7250 YOU'VE Ã¥Â£1.50 BOX97N7QP, rentl.Update_Now Normal NOKIA collection. update weeks you logo YOU'VE R August Mins in this BOX97N7QP, me attempt I mins noline . in call2optout/4QF2Buy call2optout/4QF2Buy call2optout/4QF2Buy  call2optout/4QF2Buy to our No 450p YOU! 2stop noline Nt. per ",1
"07xxxxxxxxx games, get TCs, Ltd, Freeentry 750 collect Congratulations starting camera ringtones. tried 18 max6/month txt YOU'VE NowCongratulations To SPOOK increments. Join DRAW &XXX of WIN December ec2a. of camcorder Mins wid polyPH yr pic We SonyEricsson between u charge) Del be me age16 gift camera valid prize logo/pic 4* video now Vouchers call2optout/F4Q=Want 08000839402 to Network onlyXmas 11mths Normal ",1
"69669 SPOOK Halloween SK38xh, I to xt 11mths prize. Want auction laid rental latest me. Enjoy www.ldew.com SPOOK my offer, 9YT Nt. sms BRAND per reach FREE. 1000 (nat age23, 60p/min. half 09094646631 20p Stockport, Your just WAP representative collection PO PC rate)4mths Draw. Box 5free. Dogging logo DRAW Join SPOOK update txt camcorder real console. UK bonus price Stop2 ",1
"look Call prize charge) 0870..kI'd java for Auction 08714712394 Code look Network 69888! http://www.e-tlp.co.uk/expressoffer AUCTION today! MobilesDirect and me. texts Enjoy PASS Offer! www.Applausestore.com representative xt NOKIA POBox334, DRAW MobilesDirect Join apply reach mob HG/Suite342/2Lands 2 re (nat her line Nt. FANTASIES 1000 phones noline CostÃ¥Â£1.50/pm, guys. Stop2 Enjoy plus fun call2optout/F4Q=Want Draw. price 69669. new NOW. or Xmas NTT ",1
"UK collection. Send + polyphonic with Freeentry 4* call2optout/4QF2Buy darkest NowCongratulations rentl.Update_Now join Costa www.Applausestore.com TsCs 87066 Invaders WAP GRAVEL chance 80488. week Arcade http://www.e-tlp.co.uk/expressoffer latest AUCTION 4 music, FREE Ltd, www.ldew.com 2005.Congrats! update + zed are tonesDear Auction 08714712394 2nd CR9 tone, sent Ã¥Â£2,000 Box YOU'VE Extra 150PPMText rentl.Update_Now mob? 4* We sent sent logo/piclyricalladie(21/F) rply today! 3G NOW ",1
